作法,작법
ぐっすり,멋지다
区別,구별
組,쌍
組合,노조
組む,짜다
汲む,먹다
酌む,먹다
悔しい,억울한
位,위치
暮らし,생활
クラシック,클래식
暮らす,살다
グラス,유리
グランド,그랜드
クリーム,크림
繰り返す,반복하다
クリスマス,크리스마스
狂う,미친
グループ,그룹
苦しい,괴로운
苦しむ,고통
暮れ,삶
苦労,고생
加える,추가
咥える,물다
詳しい,상세한
加わる,가입하다
訓,훈련
軍,군
郡,카운티
軍隊,군대
訓練,훈련
下,아래
計,합계
敬意,경의
経営,경영
景気,경기
傾向,추세
警告,경고
計算,계산
掲示,게시
刑事,범죄
芸術,예술
契約,계약
経由,경유
ケース,케이스
ゲーム,게임
劇,극
劇場,극장
化粧,메이크업
けち,케치
血液,혈액
結果,결과
欠陥,결함
結局,결국
決心,결심
欠席,결석
決定,결정
欠点,단점
結論,결론
煙,연기
蹴る,걷어차다
券,티켓
県,현
見解,견해
限界,한계
現金,현금
言語,언어
健康,건강
検査,검사
現在,현재
現実,현실
現象,현상
現状,현재 상태
建設,건설
現代,현대
建築,건축
見当,보기
検討,검토
現場,현장
憲法,헌법
権利,권리
後,후
碁,碁
恋,사랑
濃い,진한
恋人,연인
幸運,행운
講演,강연
効果,효과
硬貨,동전
高価,비싼
豪華,럭셔리
合格,합격
交換,교환
航空,항공
光景,광경
合計,합계
攻撃,공격
貢献,기여
広告,광고
交際,교제
校舎,학교 건물
後者,후자
工場,공장
公正,공정하다
構成,구성
高速,고속
行動,행동
強盗,강도
後輩,후배
幸福,행복
公平,공평
候補,후보
考慮,고려
越える,넘다
超える,초과
コーチ,코치
コード,코드
氷,얼음
凍る,얼음
ゴール,목표
誤解,오해
語学,어학
呼吸,호흡
故郷,고향
極,극
国語,국어
国籍,국적
黒板,칠판
克服,극복
国民,국민
穀物,곡물
腰,허리
胡椒,후추
個人,개인
越す,넘다
超す,슈퍼
国家,국가
国会,국회
国境,국경
骨折,골절
小包,소포
琴,코토
異なる,다른
諺,속담
断る,거절하다
粉,분말
好み,취향
好む,선호
こぼす,흘리다
こぼれる,쏟아지는
塵,먼지
小麦,밀
ごめんなさい,미안해.
小屋,오두막
これら,이들
殺す,죽이다
転ぶ,굴러
今回,이번에
今後,미래
混雑,혼잡
こんなに,이렇게
困難,어려움
今日,오늘
こんにちは,안녕하세요
婚約,약혼
混乱,혼란
差,차이
サービス,서비스
際,때
最高,최고
財産,재산
最終,최종
最中,중간
最低,최소
才能,재능
裁判,재판
材料,소재
幸い,다행히
サイン,기호
境,경계
逆らう,거꾸로
盛り,모듬
作業,작업
裂く,찢다
昨,마지막
作品,작품
作物,작물
桜,벚꽃
酒,술
叫ぶ,외치다
避ける,피하다
支える,지원하다
刺さる,찌르다
刺す,찌르다
指す,가리키다
挿す,꽂다
注す,참고
射す,쏘다
座席,좌석
誘う,초대하다
札,지폐
作家,작가
作曲,작곡
ざっと,흠뻑
さっぱり,깔끔한
さて,그럼
砂漠,사막
差別,차별
ママ,엄마
豆,콩
守る,지키다
迷う,헤매다
丸,둥근
円,원
まるで,마치
万一,만일
満足,만족
身,몸
実,실
見送り,배달
味方,아군
見事,멋지다
ミス,실수
満ちる,채우다
密,밀
認める,인정하다
見舞い,편지
土産,기념품
都,도시
妙,이상한
明後日,내일
未来,미래
魅力,매력
診る,진찰
ミルク,우유
無,없음
向かい,정면
迎え,픽업
向く,향하다
剥く,벗기다
向ける,조준하다
無視,무시
蒸し暑い,무더운
虫歯,충치
寧ろ,넋
蒸す,찐
結ぶ,묶다
無駄,낭비
夢中,미친
胸,가슴
無料,무료
芽,싹
明確,명확한
名刺,명함
名詞,명사
命じる,명령하다
名人,명인
命令,명령
迷惑,성가신
目上,눈에
飯,쌀
滅多に,드물게
メモ,메모
面,얼굴
綿,코튼
免許,면허
面接,인터뷰
面倒,번거로움
メンバー,회원
申し込む,신청
申し訳,미안
毛布,담요
燃える,불타는
目的,목적
目標,목표
文字,문자
文字,문자
もしかすると,혹시
もしも,만약
持ち上げる,리프팅
用いる,사용
もったいない,아쉬움
尤も,우도
元,원래
基,기
素,소
戻す,돌아가다
基づく,근거
求める,요구하다
者,사람
物音,물음
物語,이야기
物事,사물
燃やす,태우다
模様,무늬
文句,불평
やがて,결국
役,역할
約,약
訳,번역
訳す,번역
役割,역할
家賃,임대
厄介,성가신
宿,숙소
雇う,고용하다
屋根,지붕
破る,깨다
破れる,찢어지는
辞める,그만두다
やや,다소
唯一,유일한
勇気,용기
友好,우호
有効,유효
優秀,우수
優勝,우승
友情,우정
友人,친구
有能,유능한
郵便,우편
ユーモア,유머
有利,유리
床,바닥
愉快,유쾌한
譲る,양보하다
豊か,풍부한
茹でる,삶다
許す,용서하다
夜,밤
夜明け,새벽
酔う,술취하다
容易,쉬운
容器,용기
陽気,쾌활한
要求,요청
用心,조심
様子,모습
要するに,요컨대
要素,요소
要点,요점
曜日,요일
ヨーロッパ,유럽
予期,예기
横切る,건너다
汚す,오염
予算,예산
止す,멈추다
寄せる,보내다
予測,예측
ヨット,요트
夜中,한밤중
世の中,세상
余分,여분
予報,예보
予防,예방
読み,읽기
嫁,아내
余裕,여유
より,더
因る,원인
喜び,기쁨
よろしく (かん),감사합니다 (칸)
四,네
来,오
ライター,작가
楽,편한
ラケット,라켓
利益,이익
理解,이해
陸,육지
利口,이구
離婚,이혼
理想,이상
率,비율
留学,유학
流行,유행
量,양
寮,기숙사
両替,환전
料金,수수료
例,예
礼,예
例外,예외
礼儀,예의
冷静,냉정
列,열
列車,기차
レベル,레벨
連想,연상
連続,연속
老人,노인
労働,노동
ロケット,로켓
論じる,논의하다
論争,논쟁
論文,논문
輪,고리
ワイン,와인
わがまま,멋지다
別れ,이별
分かれる,나누다
脇,겨드랑이
湧く,솟다
分ける,나누다
わざと,일부러
僅か,약간
綿,코튼
話題,화제
笑い,웃음
割る,깨다
悪口,욕설
我々,우리
湾,만
椀,그릇
碗,碗
悪,악
当り,히트
アップ,업
宛てる,받다
アンケート,설문조사
異,다른
意,의
医院,진료소
怒り,분노
粋,멋진
意地,의지
依然,여전히
傷める,아프다
炒める,볶다
一帯,일대
異動,이동
衣料,의류
渦,소용돌이
埋まる,채우다
産む,낳다
縁,가장자리
尾,꼬리
負う,잃다
遅れ,지연
教え,가르침
驚き,놀라움
織る,짜다
欠く,부족하다
角,뿔
核,핵
格,격
学歴,학력
駆ける,달리다
賭ける,베팅
課題,도전
片付け,정리
加味,가미
借り,빌리다
狩り,사냥
管,관
～観,～관
癌,암
刊行,간행
慣行,관행
歓声,환성
官僚,관료
器官,장기
季刊,계간
起源,기원
機構,메커니즘
築く,쌓다
規制,규제
丘陵,구릉
協議,협의
享受,향수
協調,협력
切り,자르다
菌,균
近視,근시
苦,고통
群,그룹
刑,형
経緯,경위
計器,계기
契機,계기
携帯,모바일
形態,형태
血管,혈관
決行,결행
件,건
減少,감소
公演,공연
後悔,후회
航海,항해
拘束,구속
荒廃,황폐
降伏,항복
興奮,흥분
語句,어구
個々,개별
故人,고인
小銭,동전
ことによると,일에 따르면
コンテスト,콘테스트
採集,채집
作,작
策,책
設備,장비
絶滅,멸종
節約,절약
攻める,공격하다
責める,비난하다
善,선
全,모두
全員,모두
専攻,전공
全国,전국
洗剤,세제
先日,요 전날
前者,전자
選手,선수
全身,전신
前進,전진
センター,센터
全体,전체
選択,선택
宣伝,홍보
象,코끼리
騒音,소음
増加,증가
操作,조작
想像,상상
相続,상속
装置,장비
相当,상당
速度,속도
底,바닥
そこで,거기서
組織,조직
そして,그리고
注ぐ,붓다
育つ,자라다
そっくり,똑같이
そっと,부드럽게
袖,소매
備える,준비
具える,고정
そのうえ,게다가
そのうち,그 중
そのまま,그대로
蕎麦,소바
ソファー,소파
粗末,거친
それぞれ,각각
それでも,그래도
それと,그리고
それとも,아니면
揃う,정렬
揃える,정렬
損,손해
損害,손해
尊敬,존경
存在,존재
尊重,존중
田,논
他,기타
対,쌍
大,큰
題,제목
体育,체육
体温,체온
大会,대회
大気,대기
代金,대금
退屈,지루함
滞在,체류
大使,대사
大した,큰
体重,체중
対象,대상
対照,대조
大臣,장관
対する,상대
大戦,대전
態度,태도
大統領,대통령
大半,대부분
代表,대표
大部分,대부분
タイプライター,타자기
逮捕,체포
題名,제목
ダイヤ,ダイヤ
太陽,太陽
平ら,平ら
代理,代理
大陸,大陸
倒す,倒す
タオル,タオル
だが,だが
互い,互い
高める,高める
宝,宝
宅,宅
炊く,炊く
焚く,焚く
抱く,抱く
だけど,だけど
たしか,たしか
確かめる,確かめる
多少,多少
助かる,助かる
助ける,助ける
ただ,ただ
只,只
唯,唯
戦い,戦い
戦う,戦う
叩く,叩く
直ちに,直ちに
畳む,畳む
立ち上がる,立ち上がる
立場,立場
建つ,建つ
経つ,経つ
達する,達する
唯,唯
だって,だって
たっぷり,たっぷり
たとえ,たとえ
谷,谷
他人,他人
種,種
束,束
足袋,足袋
度,度
旅,旅
たびたび,たびたび
玉,玉
球,球
弾,弾
偶,偶
騙す,騙す
偶々,偶々
たまらない,たまらない
溜まる,溜まる
黙る,黙る
試し,試し
試す,試す
溜める,溜める
便り,便り
頼る,頼る
段,段
単位,単位
単語,単語
男子,男子
単純,単純
誕生,誕生
ダンス,ダンス
団体,団体
担当,担当
単なる,単なる
単に,単に
地,地
地位,地位
地域,地域
チーズ,チーズ
チーム,チーム
知恵,知恵
地下,地下
違い,違い
違いない,違いない
近頃,近頃
地球,地球
地区,地区
遅刻,遅刻
知事,知事
知識,知識
父親,父親
知能,知能
地平線,地平線
地方,地方
茶,茶
チャンス,チャンス
ちゃんと,ちゃんと
中,中
注,注
中央,中央
中学,中学
中古,中古
中止,中止
駐車,駐車
昼食,昼食
中心,中心
注目,注目
注文,注文
長期,長期
調査,調査
調子,調子
頂上,頂上
ちょうだい,ちょうだい
貯金,貯金
直接,直接
著者,著者
散らす,散らす
散る,散る
遂に,遂に
通過,通過
通貨,通貨
通学,通学
通勤,通勤
通行,通行
通じる,通じる
通信,通信
通訳,通訳
捕まる,捕まる
掴む,掴む
疲れ,疲れ
付き合い,付き合い
付合う,付合う
次々,次々
付く,付く
就く,就く
突く,突く
次ぐ,次ぐ
注ぐ,注ぐ
付ける,付ける
着ける,着ける
伝わる,伝わる
土,土
続き,続き
包み,包み
勤め,勤め
務め,務め
繋がる,繋がる
繋ぐ,繋ぐ
繋げる,繋げる
常に,常に
翼,翼
つまり,つまり
罪,罪
積む,積む
詰める,詰める
積もる,積もる
梅雨,梅雨
辛い,辛い
釣,釣
連れ,連れ
出,出
出会い,出会い
出合い,出合い
出会う,出会う
提案,提案
定期,定期
抵抗,抵抗
提出,提出
停電,停電
程度,程度
停留所,停留所
デート,デート
敵,敵
出来事,出来事
適する,適する
適切,適切
適度,適度
適用,適用
できれば,できれば
手品,手品
ですから,ですから
鉄,鉄
哲学,哲学
手伝い,手伝い
徹底,徹底
鉄道,鉄道
徹夜,徹夜
手間,手間
デモ,デモ
典型,典型
天候,天候
電子,電子
テント,テント
伝統,伝統
天然,天然
問い,問い
党,党
塔,塔
答案,答案
同一,同一
銅貨,銅貨
当時,当時
動詞,動詞
同時,同時
どうしても,どうしても
どうぞよろしく,どうぞよろしく
到着,到着
道徳,道徳
投票,投票
東洋,東洋
同様,同様
童謡,童謡
同僚,同僚
道路,道路
通す,通す
通り過ぎる,通り過ぎる
都会,都会
溶く,溶く
解く,解く
退く,退く
毒,毒
得意,得意
読書,読書
独身,独身
特徴,特徴
特長,特長
独特,独特
独立,独立
溶ける,溶ける
解ける,解ける
どこか,どこか
ところが,ところが
ところで,ところで
登山,登山
都市,都市
年月,年月
図書,図書
年寄,年寄
閉じる,閉じる
途端,途端
土地,土地
突然,突然
トップ,トップ
届く,届く
とにかく,とにかく
飛ばす,飛ばす
飛び出す,飛び出す
留める,留める
泊める,泊める
友,友
共に,共に
虎,虎
ドライブ,ドライブ
トラック,トラック
ドラマ,ドラマ
トランプ,トランプ
取り上げる,取り上げる
努力,努力
トレーニング,トレーニング
ドレス,ドレス
取れる,取れる
泥,泥
トン,トン
とんでもない,とんでもない
どんなに,どんなに
トンネル,トンネル
名,名
内容,内容
なお,なお
仲,仲
流す,流す
半ば,半ば
仲間,仲間
中身,中身
中味,中味
眺め,眺め
眺める,眺める
流れ,流れ
流れる,流れる
亡くす,亡くす
殴る,殴る
無し,無し
なぜなら,なぜなら
謎,謎
納得,納得
何か,何か
なにも,なにも
鍋,鍋
生,生
怠ける,怠ける
波,波
涙,涙
悩む,悩む
鳴らす,鳴らす
為る,為る
生る,生る
馴れる,馴れる
縄,縄
何で,何で
何でも,何でも
何とか,何とか
似合う,似合う
煮える,煮える
苦手,苦手
握る,握る
日,日
日常,日常
日光,日光
日中,日中
にっこり,にっこり
日本,日本
日本,日本
入場,入場
煮る,煮る
人気,人気
人間,人間
抜く,抜く
抜ける,抜ける
布,布
濡らす,濡らす
根,根
値,値
願い,願い
願う,願う
鼠,鼠
熱帯,熱帯
熱中,熱中
年間,年間
年月,年月
年中,年中
年代,年代
年齢,年齢
野,野
能,能
農家,農家
農業,農業
農民,農民
能力,能力
ノー,ノー
軒,軒
残す,残す
残り,残り
乗せる,乗せる
載せる,載せる
覗く,覗く
除く,除く
望み,望み
望む,望む
後,後
ノック,ノック
伸ばす,伸ばす
延ばす,延ばす
伸びる,伸びる
延びる,延びる
述べる,述べる
上る,上る
昇る,昇る
載る,載る
のんびり,のんびり
場,場
はあ (かん),はあ (かん)
パーセント,パーセント
灰,灰
梅雨,梅雨
バイオリン,バイオリン
ハイキング,ハイキング
配達,配達
パイプ,パイプ
俳優,俳優
パイロット,パイロット
生える,生える
墓,墓
馬鹿,馬鹿
博士,博士
計る,計る
量る,量る
測る,測る
掃く,掃く
吐く,吐く
拍手,拍手
莫大,莫大
爆発,爆発
博物館,博物館
激しい,激しい
はさみ,はさみ
破産,破産
端,端
始まり,始まり
パス,パス
外す,外す
パスポート,パスポート
外れる,外れる
旗,旗
肌,肌
裸,裸
畑,畑
働き,働き
バッグ,バッグ
発見,発見
発行,発行
発車,発車
発射,発射
罰する,罰する
発達,発達
ばったり,ばったり
発展,発展
発表,発表
発明,発明
派手,派手
話し合う,話し合う
離す,離す
放す,放す
離れる,離れる
放れる,放れる
羽,羽
羽根,羽根
幅,幅
母親,母親
省く,省く
場面,場面
流行る,流行る
腹,腹
原,原
バランス,バランス
針,針
範囲,範囲
反抗,反抗
犯罪,犯罪
ハンサム,ハンサム
反省,反省
判断,判断
犯人,犯人
販売,販売
灯,灯
ビール,ビール
被害,被害
比較,比較
ピクニック,ピクニック
悲劇,悲劇
飛行,飛行
膝,膝
非常,非常
美人,美人
額,額
日付,日付
引越し,引越し
必死,必死
ぴったり,ぴったり
引っ張る,引っ張る
否定,否定
ビデオ,ビデオ
一言,一言
人込み,人込み
等しい,等しい
独り,独り
一人一人,一人一人
批判,批判
批評,批評
秘密,秘密
微妙,微妙
紐,紐
冷やす,冷やす
費用,費用
表,表
秒,秒
評価,評価
表現,表現
表情,表情
平等,平等
評判,評判
表面,表面
広がる,広がる
広げる,広げる
広める,広める
品,品
瓶,瓶
便,便
ピン,ピン
不,不
不,不
無,無
分,分
不安,不安
風景,風景
夫婦,夫婦
笛,笛
不可,不可
深まる,深まる
武器,武器
拭く,拭く
服装,服装
含む,含む
含める,含める
袋,袋
不幸,不幸
節,節
無事,無事
不思議,不思議
不自由,不自由
夫人,夫人
婦人,婦人
不正,不正
防ぐ,防ぐ
不足,不足
舞台,舞台
双子,双子
再び,再び
普段,普段
縁,縁
打つ,打つ
不通,不通
物価,物価
ぶつかる,ぶつかる
ぶつける,ぶつける
物質,物質
物理,物理
筆,筆
ふと,ふと
部分,部分
不平,不平
不満,不満
増やす,増やす
殖やす,殖やす
プラス,プラス
プラスチック,プラスチック
プラン,プラン
不利,不利
振る,振る
震える,震える
ブレーキ,ブレーキ
触れる,触れる
プロ,プロ
分,分
文,文
雰囲気,雰囲気
分析,分析
文明,文明
分野,分野
塀,塀
平均,平均
平和,平和
別に,別に
減らす,減らす
減る,減る
ベルト,ベルト
変化,変化
ペンキ,ペンキ
変更,変更
ベンチ,ベンチ
弁当,弁当
方,方
法,法
棒,棒
冒険,冒険
方向,方向
報告,報告
宝石,宝石
包装,包装
豊富,豊富
方法,方法
方々,方々
訪問,訪問
吠える,吠える
ボーイ,ボーイ
ボート,ボート
ホーム,ホーム
ボール,ボール
他,他
誇り,誇り
埃,埃
保証,保証
保存,保存
歩道,歩道
仏,仏
骨,骨
炎,炎
頬,頬
頬,頬
