踏む,밟다
通う,다니다
連れる,데리고
技術,기술
小鳥,작은 새
下宿,시모주쿠
ジャム,잼
招待,초대
鏡,거울
はず,해야
法律,법률
進む,앞으로
楽む,재미
貿易,무역
反対,반대
おる,오루
申す,말하다
試験,시험
真面目,진지한
ごらんになる,미안해.
店員,점원
泊まる,묵다
よろしい,좋은
今夜,오늘밤
おつり,축제
チェックする,확인
会話,대화
空気,공기
交通,교통
ワープロ,워드 프로
喜ぶ,기뻐하다
急行,급행
皆,모두
味,맛
空港,공항
手袋,장갑
校長,교장
ごちそう,잔치
踊り,춤
興味,관심
引っ越す,이사하다
冷房,냉방
都合,편리
遠慮,삼가
亡くなる,죽다
科学,과학
はっきり,명확하게
差し上げる,드리다
気持ち,기분
祖父,할아버지
港,항구
予約,예약
凄い,굉장한
入学,입학
片付ける,정리하다
写す,사진
パソコン,PC
部長,부장
火事,화재
足す,더하다
教会,교회
彼ら,그들
一杯,한잔
アメリカ,미국
男性,남성
理由,이유
生産,생산
着物,기모노
おもちゃ,장난감
暮れる,살다
釣る,낚시
～ちゃん,~짱
打つ,치다
あんな,그렇게
謝る,사과하다
昼間,주간
教育,교육
女性,여성
米,쌀
邪魔,방해
国際,국제
隅,구석
伺う,묻다
再来週,다시 다음 주
夢,꿈
喉,목
最近,최근
周り,주변
歴史,역사
不便,불편
血,피
～続ける,~ 계속
毛,털
ひどい,끔찍한
例えば,예를 들면
中々,보통
随分,상당히
～やすい,~ 쉬운
押し入れ,밀어넣다
電灯,전등
叱る,꾸짖다
サンダル,샌들
びっくりする,놀라다
うまい,잘하다
変える,바꾸다
講堂,강당
子,아이
沸かす,끓다
レジ,계산대
しばらく,잠시
特に,특히
空く,비우다
計画,계획
通り,거리
下着,속옷
経済,경제
こう,이렇게
是非,부디
裏,뒤
為,위
おいでになる,가자.
変わる,변화하다
以外,이외
済む,끝나다
ハンバーグ,햄버거
市,시
引き出し,서랍
遊び,놀이
支度,지도
～始める,~ 시작
見える,보이는
十分,충분히
音,소리
きっと,분명히
まず,우선
遠く,멀리
大体,대체로
折れる,접히다
正しい,맞다
輸入,수입
返事,대답
都,도시
産業,산업
伝える,말하다
お金持ち,부자
説明,설명
島,섬
道具,도구
滑る,미끄러짐
それほど,그만큼
以上,이상
～まま,~ 그대로
特急,특급
プレゼント,선물
～(に) よると,~(에)에 의하면
妻,아내
帰り,돌아가다
具合,상태
堅; 硬; 固い,단단한; 단단한; 단단한
駐車場,주차장
スーツ,정장
危険,위험
髪,헤어
天気予報,날씨 예보
彼女,그녀
間,사이
卒業,졸업
それで,그래서
枝,가지
専門,전문
そろそろ,곧
送る,보내다
あげる,올리다
騒ぐ,시끄러운
尋ねる,묻다
放送,방송
政治,정치
市民,시민
ファックス,팩스
負ける,잃다
指輪,반지
田舎,시골
見つける,찾기
高校生,고등학생
講義,강의
そんなに,그렇게
昼休み,점심시간
忘れ物,분실물
下りる,내리다
腕,팔
訳,번역
承知,인지
日記,일기
高校; 高等学校,고등학교; 고등학교
似る,비슷한
～おわる,~ 끝난다
暖房,난방
留守,부재
割合,비율
寺,절
慣れる,익숙해지다
普通,보통
手伝う,도움
なるほど,과연
くださる,주시다
息子,아들
お子さん,자녀
会場,회장
笑う,웃음
運ぶ,운반
文学,문학
光,빛
お見舞い,편지
席,좌석
～様,~양
ご存じ,알다시피
下る,내리다
字,글자
アジア,아시아
褒める,칭찬하다
空く,비우다
あ,아
最も,가장
合う,맞다
～代,~대
最後,마지막
値段,가격
退院,퇴원
展覧会,전시회
久しぶり,오랜만에
カーテン,커튼
汽車,기차
遅れる,지연
見つかる,발견하다
召し上がる,먹다
太る,뚱뚱한
注射,주사
様,님
～おき,~오키
最初,처음
御～,어~
安心,안심
直る,고치다
集める,모으다
直す,고치다
続く,계속
先輩,선배
約束,약속
世話,돌보는
近所,이웃
将来,미래
億,억
数学,수학
文化,문화
払う,지불하다
習慣,습관
焼ける,굽다
君,너
冷える,차가운
点く,켜다
この間,이 기간 동안
格好,모습
かまう,카마우
続ける,계속하다
落す,떨어지는
明日,내일
出発,출발
拝見,배견
割れる,깨지는
背中,등
新聞社,신문사
いじめる,괴롭히다
回る、回す,돌리다, 돌리다
～君,～너
おっしゃる,말한다
眠い,졸린
濡れる,젖은
倒れる,쓰러지는
スーパー (マーケット),슈퍼마켓
アクセサリー,액세서리
考える,생각하다
向かう,향하다
自由,자유
仕方,방법
首,목
程,정도
代わり,대체
失敗,실패
工業,산업
移る,이동
スーツケース,가방
ひげ,수염
研究室,실험실
工場,공장
紹介,소개
けれど; けれども,그러나; 그러나
舟,배
動く,움직이는
～(に) ついて,~(에) 붙어
コンサート,콘서트
虫,벌레
優しい,부드러운
コンピュータ; コンピューター,컴퓨터; 컴퓨터
植える,심다
両方,둘 다
汚れる,더러운
水泳,수영
経験,경험
勝つ,이기다
砂,모래
警察,경찰
取り替える,교체
急ぐ,서두르다
簡単,쉬운
参る,참여하다
全然,전혀
特別,특별
復習,복습
間に合う,사이에 맞다
役に立つ,유용하다
もうすぐ,곧
真中,한가운데
戻る,뒤로
研究,연구
ケーキ,케이크
草,잔디
込む,넣다
この頃,이때
訪ねる,방문하다
下げる,낮추다
花見,하나미
途中,도중
入院,입원
乗り換える,환승하다
別れる,헤어지다
～町,～마을
安全,안전
看護婦,간호사
見物,구경
相談,상담
ガソリンスタンド,주유소
テニス,테니스
眠る,자다
上がる,오르다
翻訳,번역
食事,식사
お陰,덕분
娘,딸
湯,탕
競争,경쟁
会議,회의
湖,호수
集まる,모임
～にくい,~ 어렵다
生活,생활
糸,실
関係,관계
ピアノ,피아노
～目,~눈
番組,프로그램
急,급한
棚,선반
木綿,목화
輸出,수출
タイプ,유형
すり,스리
嬉しい,즐거운
アルコール,알코올
ソフト,소프트
神社,신사
大分,오이타
楽しみ,재미
趣味,취미
電報,전보
家内,가내
指,손가락
これから,앞으로
たまに,가끔
社会,사회
