現像,현상
とぎれる,가라앉다
研ぐ,날카로운
特技,특기
独裁,독재
特産,특산
独自,고유
特集,특집
独占,독점
独創,독창
得点,득점
特派,특파
特有,특유
とげ (をさす),가시
遂げる,달성하다
～どころか,~커녕
年頃,년경
戸締り,문 닫기
途上,도상
土台,토대
途絶える,끊다
特許,특허
特権,특권
とっさに,순식간에
突如,갑자기
とって,매우
突破,돌파
土手,토수
届,신고
滞る,죽다
整える,정돈하다
止める,멈추다
唱える,노래하다
殿様,전님
土俵,츠바키
扉,문
溝,홈
徒歩,도보
土木,토목
とぼける,흐리게
乏しい,부족한
富,부
富む,부유하다
共稼ぎ,공동 벌기
伴う,동반
共働き,공동작업
ドライ,건식
ドライクリーニング,드라이클리닝
ドライバー,운전자
ドライブイン,드라이브 인
トラブル,문제
トランジスター,트랜지스터
とりあえず,우선
取扱,취급
取り扱う,취급하다
鳥居,토리이
取り替え,교체
取り組む,일하다
取締り,단속
取り締まる,단속하다
取り調べる,조사하다
取り立てる,다루다
取り次ぐ,계속
取り付ける,설치하다
取り除く,제거하다
取引,거래
取り巻く,둘러싸다
取り混ぜる,섞다
取り戻す,되찾다
取り寄せる,주문하다
ドリル,드릴
副,부
とろける,녹다
鈍感,둔감
とんだ,돈다
度忘れ,도 잊어버리다
問屋,도매상
内閣,내각
乃至,노지
内緒,비밀
内心,내심
内蔵,내장
ナイター,야간
内部,내부
内乱,내란
内陸,내륙
苗,모종
なおさら,덧붙여
流し,싱크
長々,오랫동안
中程,중정
渚,渚
嘆く,한탄하다
投げ出す,던지다
仲人,중인
和やか,화려한
名残,명남
情け,정서
情無い,정신없는
情深い,깊은
詰る,포장하다
名高い,유명한
雪崩,눈사태
懐く,그리워하다
名付ける,명명하다
何気ない,아무렇지도 않은
なにとぞ,어쨌든
なにより,무엇보다
ナプキン,냅킨
名札,이름표
生臭い,생 냄새
生温い,따뜻한
生身,생신
鉛,납
滑らか,부드러운
嘗める,속이는
悩ましい,괴로운
悩ます,고민하다
悩み,고민
並びに,그리고
成り立つ,성립하다
なるたけ,타케케
慣れ,익숙한
馴々しい,익숙한
～なんか,~ 뭔가
ナンセンス,넌센스
何だか,무엇인가
なんだかんだ,왠지
なんなり,뭐야
荷,짐
似通う,비슷하다
にきび,여드름
賑わう,활기찬
憎しみ,증오
肉親,고기 부모
肉体,육체
逃げ出す,도망치다
西日,서일
滲む,떠다니는
にせ物,가짜
日夜,밤낮
荷造り,수하물
担う,담당하다
鈍る,둔하다
にも関わらず,그럼에도 불구하고
ニュアンス,뉘앙스
ニュー,뉴
入手,입수
入賞,입상
入浴,입욕
尿,소변
認識,인식
妊娠,임신
任務,임무
任命,임명
抜かす,뽑다
抜け出す,빠지다
主,주
沼,늪
音色,음색
値打ち,가격
ネガ,부정적인
寝かせる,잠을 자다
ねじまわし,나사 마와시
捩れる,비틀다
妬む,질투하다
ねだる,네다루
熱意,열의
熱湯,온수
熱量,열량
粘り,끈기
粘る,끈기
値引き,할인
根回し,뿌리
眠たい,졸린
練る,반죽하다
念,만
年賀,연하
念願,염원
年号,연호
燃焼,연소
年長,고위
燃料,연료
年輪,연륜
ノイローゼ,노이로제
農耕,농경
農場,농장
農地,농지
納入,배달
逃す,놓치다
逃れる,탈출
軒並,처마
望ましい,희망
乗っ取る,탈취하다
のどか,목구멍
罵る,매혹하다
延べ,연장
飲み込む,삼키다
乗り込む,타다
刃,블레이드
～派,~파
バー,바
把握,파악
パート,파트
廃棄,폐기
配給,배급
ばい菌,박테리아
配偶者,배우자
拝啓,친애하는
背景,배경
背後,배후
廃止,폐지
拝借,배차
排除,제거
賠償,배상
排水,배수
敗戦,패전
配置,배치
配布,배포
配分,배분
敗北,패배
倍率,배율
配慮,배려
配列,배열
破壊,파괴
いたわる,가다
一概に,일반적으로
著しい,현저한
一同,일동
一部分,부분
一別,일별
一面,일면
一目,첫눈
一様,균일하다
一律,일률
一連,일련
一括,일괄
一気,단숨
一挙に,일거에
一見,보기
一切,일체
一心,일심
いっそ,차라리
一変,일변
意図,의도
営む,운영하다
挑む,도전하다
稲光,벼
祈り,기도
いびき,코골이
今更,지금
未だ,아직
移民,이민
嫌々,미움
卑しい,어리석은
いやに,아니
いやらしい,싫은
意欲,의욕
威力,위력
衣類,의류
異論,이론
印鑑,인감
陰気,음
隠居,은거
インターチェンジ,인터체인지
インターナショナル,인터내셔널
インターフォン,인터폰
インテリ,인텔리
インフォメーション,정보
インフレ,인플레이션
受かる,받다
受け入れ,수락
受け入れる,수락하다
受け継ぐ,계승하다
受け付ける,수락하다
受け止める,수락하다
受身,수신
受持ち,수령
動き,움직임
埋める,채우다
嘘つき,거짓말쟁이
うたた寝,노래 잠
打ち明ける,털다
打ち切る,중단하다
打ち消し,무시
打ち込む,치다
団扇,단선
内訳,고장
写し,복사
訴え,고소
うっとうしい,어리석은
うつむく,우울하다
空ろ,빈
器,그릇
腕前,솜씨
雨天,우천
促す,촉구하다
うぬぼれ,우누보레
生まれつき,출생
埋め込む,내장
梅干し,매실 말린
裏返し,뒤집다
売り出し,판매
売り出す,판매하다
潤う,수분
浮気,바람
上回る,능가하다
植わる,심다
運営,운영
うんざり,지친
運送,운송
運賃,운임
云々,운
運搬,운반
運命,운명
運輸,운송
運用,운영
エアメール,에어메일
～営,~영
英字,영문
映写,영사
映像,영상
英雄,영웅
液,액체
閲覧,브라우징
獲物,먹이
襟,칼라
エレガント,우아한
円滑,부드러운
縁側,가장자리
沿岸,해안
婉曲,완곡
演出,연출
エンジニア,엔지니어
演じる,연기하다
演ずる,연주하다
沿線,연선
縁談,연담
遠方,멀리
円満,원만
追い込む,쫓다
追い出す,쫓다
於いて,이
老いる,늙은
応急,응급
黄金,황금
往診,왕진
応募,신청
おおい (かん),오이 (칸)
大方,큰
大柄,큰 무늬
おおげさ,고마움
大筋,대근
大空,큰 하늘
オートマチック,오토매틱
大幅,크게
おおまかな,대략
大水,대수
公,공공
犯す,범하다
侵す,침략하다
臆病,겁쟁이
遅らす,지연
厳か,엄격한
行い,행동
おごる (ゆうしょくを～),오고루 (유쇼쿠~)
収まる,맞다
納まる,납치하다
治まる,치료하다
お産,생산
押し切る,누르다
押し込む,푸시
惜しむ,아쉬운
押し寄せる,밀어 넣다
雄,수컷
御世辞,아세사
襲う,공격하다
遅くとも,늦어도
恐れ,두려움
恐れ入る,두려워하다
おだてる,오다테루
落ち込む,우울하다
落ち着き,진정
落葉,낙엽
乙,을을
お使い,사용
おっかない,미안해.
お手上げ,수상
おどおど,오도오도
脅す,위협하다
訪れる,방문하다
お供,공공
衰える,쇠약하다
同い年,같은 해
自ずから,스스로
怯える,두려워하다
おびただしい,놀라운
脅かす,위협하다
帯びる,오비다
お袋,가방
覚え,기억
おまけ,덤
お宮,오미야
おむつ,기저귀
思い付き,추억
趣,정취
赴く,부유하다
重んじる,무거운
重んずる,무거운
親父,아버지
及び,및
及ぶ,확장
折,접다
檻,새장
オリエンテーション,오리엔테이션
折り返す,접기
織物,직물
俺,나
愚か,어리석은
おろそか,오로소카
おんぶ,온부
オンライン,온라인
温和,온화
我,우리
カーペット,카펫
～界,～계
～街,～거리
改悪,개악
海運,해운
外貨,외화
改革,개혁
貝殻,조개
外観,외관
階級,계급
海峡,해협
会見,회견
介護,간호
開催,개최
回収,회수
改修,리노베이션
怪獣,괴물
解除,해제
外相,외상
害する,해치다
概説,개요
回送,회송
階層,계층
開拓,개척
会談,회담
改定,개정
改訂,개정
ガイド,가이드
街道,가도
該当,해당
街頭,거리
ガイドブック,가이드북
介入,개입
概念,개념
開発,개발
海抜,해발
介抱,개포
解剖,해부
外来,외래
回覧,회람
概略,개요
海流,해류
改良,개선
回路,회로
海路,해로
省みる,생략하다
顧みる,고민하다
顔付き,얼굴이 있는
課外,과외
掲げる,내걸다
かかと,발뒤꿈치
書き取る,쓰기
掻き回す,긁다
かく (はじを),가쿠
～画,~화
学芸,학예
格差,격차
拡散,확산
学士,학사
各種,다양한
隔週,격주
確信,확신
革新,혁신
学説,학설
確定,확정
カクテル,칵테일
獲得,획득
楽譜,악보
確保,확보
革命,혁명
確立,수립
賭,도박
掛～,걸~
～掛け,~걸이
崖,절벽
駆け足,달리다
家計,가계
駆けっこ,달리다
加工,가공
化合,화합물
かさばる,부피가 큰
かさむ,벌레
箇条書,글머리
頭,머리
微か,미세
霞む,서리
擦る,문지르다
火星,화성
化石,화석
河川,하천
化繊,화섬
過疎,과소
片～,편~
片言,한마디
傾ける,기울다
固める,굳다
傍ら,이웃
花壇,화단
家畜,가축
且つ,그리고
がっくり,실망
合唱,합창
がっしり,힘든
合致,메이트
がっちり,딱딱한
かつて,한때
勝手,마음
カット,컷
活発,활발한
合併,합병
カテゴリー,카테고리
叶う,이루다
叶える,이루다
金槌,금망
かなわない,일어나지 않는다.
加入,가입
予て,예
庇う,망치다
株式,주식
かぶれる,쓰다
花粉,꽃가루
貨幣,화폐
構える,잡다
過密,과밀
噛み切る,씹다
カムバック,컴백
カメラマン,사진사
粥,죽
体付き,몸
絡む,얽힌
かりに,카리에
カルテ,카르테
ガレージ,차고
過労,과로
かろうじて,간신히
交す,교차하다
代る代る,대신하다
簡易,간이
灌漑,관개
眼科,안과
眼球,안구
玩具,장난감
簡潔,간결
還元,환원
看護,간호
漢語,한어
頑固,고집
勧告,권고
換算,변환
監視,감시
慣習,관습
観衆,관중
願書,원서
干渉,간섭
頑丈,튼튼한
感触,느낌
肝心,중요한
肝腎,간신
関税,관세
岩石,암석
感染,감염
幹線,간선
簡素,단순함
観点,관점
感度,감도
カンニング,칸닝
元年,원년
幹部,간부
完ぺき,완벽한
勘弁,견인
感無量,감무량
勧誘,권유
関与,참여
寛容,관용
元来,원래
観覧,관람
慣例,관례
還暦,환력
貫禄,관록
緩和,완화
議案,의안
危害,위험
企画,기획
規格,표준
着飾る,꾸미다
気兼ね,걱정
気軽,부담
危機,위기
聞き取り,듣기
効き目,효능
帰京,귀경
戯曲,희곡
基金,기금
喜劇,희극
議決,의결
棄権,기권
既婚,기혼
気障,기장
記載,설명
兆,조
気質,기질
期日,마감일
きしむ,키시무
議事堂,의사당
記述,설명
気象,기상
傷付く,긁힌
傷付ける,긁다
犠牲,희생
汽船,기선
寄贈,기증
偽造,위조
貴族,귀족
議題,의제
鍛える,단련하다
気立て,기발한
来る,온다
きちっと,제대로
几帳面,꼼꼼한
きっかり,확실히
きっちり,제대로
きっぱり,깔끔한
規定,규정
起点,기점
軌道,궤도
技能,기술
規範,규범
気品,기품
気風,기풍
起伏,기복
規模,규모
気まぐれ,변덕
生真面目,생진면
期末,기말
きまりわるい,깨끗한
記名,기명
規約,약관
脚色,각색
逆転,반전
脚本,각본
華奢,화분
客観,객관
キャッチ,잡기
キャリア,경력
救援,구호
休学,휴학
究極,궁극
窮屈,비굴
球根,전구
救済,구제
給仕,급사
給食,급식
休戦,휴전
宮殿,궁전
旧知,옛 지식
窮乏,빈곤
寄与,기여
強,강한
～狂,～광
驚異,놀라운
教科,교과
協会,협회
共学,공학
共感,공감
境遇,처지
教訓,교훈
強行,강행
強硬,강경
教材,교재
凶作,흉작
業者,상인
教習,교습
郷愁,향수
教職,교직
興じる,흥분하다
強制,강제
行政,행정
業績,성과
共存,공존
協定,협정
郷土,향토
脅迫,협박
業務,업무
共鳴,공명
郷里,향리
強烈,강렬한
共和,공화
局限,국한
極端,극단
居住,거주
拒絶,거절
漁船,어선
漁村,어촌
拒否,거부
許容,허용
清らか,깨끗한
きらびやか,빛나는
～きり,~키리
義理,의리
切替,전환
気流,기류
切れ目,틈
疑惑,의혹
極めて,매우
近眼,근안
緊急,긴급
近郊,근교
均衡,균형
禁じる,금지하다
勤勉,근면
吟味,음미
勤務,근무
禁物,금물
勤労,근로
クイズ,퀴즈
食い違う,서로 다른
空間,공간
空腹,배고프다
区画,구획
区間,구간
茎,줄기
区切り,구분
くぐる,빙글빙글
くじ (～をひく),복권 (~을 갈아)
くじびき,추첨
くすぐったい,간질
愚痴,어리석은
口吟む,입음음
嘴,부리
朽ちる,썩다
覆す,덮다
くっきり,선명하게
屈折,굴절
ぐっと,훨씬
首飾り,목 장식
首輪,목걸이
組み込む,통합
組み合わせる,결합하다
蔵,쿠라
グレー,회색
クレーン,크레인
玄人,현인
黒字,흑자
軍艦,군함
軍事,군사
君主,군주
群集,군중
群衆,군중
軍備,군비
軍服,군복
芸,예술
経過,경과
軽快,경쾌한
警戒,경계
敬具,존경
軽減,완화
掲載,게시
傾斜,경사
形成,형성
形勢,형세
軽率,경량
刑罰,형벌
経費,경비
警部,경부
転換,전환
転居,이사
転勤,전근
点検,점검
電源,전원
天国,천국
天才,천재
天災,천재
展示,전시
伝説,전설
点線,점선
転じる,돌리다
転ずる,굴러
天体,천체
伝達,전송
天地,천지
てんで,텐데
転任,전임
展望,전망
伝来,전래
転落,전락
問い合わせる,문의
当～,당~
胴,몸통
同意,동의
動員,동원
同感,동감
陶器,도자기
討議,토의
動機,동기
等級,등급
同級,동급
同居,동거
登校,등교
統合,통합
動向,동향
投資,투자
同情,동정
道場,도장
統制,통제
当選,당첨
逃走,도주
統率,통율
到達,도달
統治,통치
仕切る,仕切る
資金,資金
軸,軸
しくじる,しくじる
仕組,仕組
死刑,死刑
湿気る,湿気る
施行,施行
思考,思考
志向,志向
嗜好,嗜好
事項,事項
時刻表,時刻表
地獄,地獄
時差,時差
自在,自在
視察,視察
資産,資産
支持,支持
自主,自主
自首,自首
刺繍,刺繍
市場,市場
辞職,辞職
雫,雫
システム,システム
沈める,沈める
施設,施設
事前,事前
子息,子息
持続,持続
自尊心,自尊心
慕う,慕う
下心,下心
下地,下地
親しむ,親しむ
下調べ,下調べ
愛想,愛想
間柄,間柄
合間,合間
敢えて,敢えて
仰ぐ,仰ぐ
垢,垢
赤字,赤字
明かす,明かす
赤らむ,赤らむ
上がり,上がり
諦め,諦め
アクセル,アクセル
あくどい,あくどい
顎,顎
憧れ,憧れ
麻,麻
あざ,あざ
浅ましい,浅ましい
欺く,欺く
鮮やか,鮮やか
嘲笑う,嘲笑う
悪しからず,悪しからず
味わい,味わい
焦る,焦る
あせる (こえが～),あせる (こえが～)
値,値
値する,値する
悪化,悪化
扱い,扱い
呆気ない,呆気ない
あっさり,あっさり
斡旋,斡旋
圧倒,圧倒
圧迫,圧迫
あつらえる,あつらえる
圧力,圧力
当て,当て
～宛,～宛
当て字,当て字
跡継ぎ,跡継ぎ
後回し,後回し
油絵,油絵
アプローチ,アプローチ
あべこべ,あべこべ
甘える,甘える
雨具,雨具
甘口,甘口
アマチュア,アマチュア
網,網
操る,操る
危ぶむ,危ぶむ
あやふや,あやふや
過ち,過ち
誤る,誤る
歩み,歩み
歩む,歩む
予め,予め
荒らす,荒らす
争い,争い
改まる,改まる
荒っぽい,荒っぽい
アラブ,アラブ
霰,霰
有り様,有り様
ありのまま,ありのまま
ありふれる,ありふれる
アルカリ,アルカリ
アルミ,アルミ
アワー,アワー
合わす,合わす
～合せ,～合せ
アンコール,アンコール
暗殺,暗殺
暗算,暗算
暗示,暗示
案じる,案じる
安静,安静
案の定,案の定
いい加減,いい加減
言い訳,言い訳
イェス,イェス
家出,家出
生かす,生かす
いかに,いかに
いかにも,いかにも
異議,異議
生き甲斐,生き甲斐
行き違い,行き違い
意気込む,意気込む
育成,育成
幾多,幾多
(花を〜) 生ける, 活ける,(花を〜) 生ける, 活ける
異見,異見
意向,意向
移行,移行
いざ,いざ
移住,移住
衣装,衣装
いじる,いじる
異性,異性
遺跡,遺跡
依存,依存
委託,委託
いたって,いたって
出世,出世
出題,出題
出動,出動
出費,出費
出品,出品
主導,主導
主任,主任
首脳,首脳
守備,守備
手法,手法
樹木,樹木
樹立,樹立
準急,準急
準じる,準じる
～署,～署
～症,～症
～証,～証
～嬢,～嬢
上位,上位
上演,上演
城下,城下
消去,消去
上空,上空
衝撃,衝撃
証言,証言
証拠,証拠
照合,照合
詳細,詳細
上昇,上昇
昇進,昇進
称する,称する
情勢,情勢
消息,消息
承諾,承諾
情緒,情緒
情緒,情緒
象徴,象徴
小児科,小児科
使用人,使用人
情熱,情熱
譲歩,譲歩
条約,条約
勝利,勝利
上陸,上陸
蒸溜,蒸溜
奨励,奨励
ショー,ショー
除外,除外
職員,職員
植民地,植民地
職務,職務
諸君,諸君
助言,助言
徐行,徐行
所在,所在
所持,所持
所属,所属
処置,処置
しょっちゅう,しょっちゅう
所定,所定
所得,所得
処罰,処罰
初版,初版
書評,書評
処分,処分
庶民,庶民
庶務,庶務
所有,所有
調べ,調べ
自立,自立
記す,記す
指令,指令
～心,～心
陣,陣
進化,進化
人格,人格
審議,審議
新婚,新婚
審査,審査
人材,人材
紳士,紳士
真実,真実
信者,信者
真珠,真珠
進出,進出
心情,心情
新人,新人
神聖,神聖
親善,親善
真相,真相
迅速,迅速
人体,人体
新築,新築
心中,心中
進呈,進呈
進展,進展
神殿,神殿
進度,進度
振動,振動
新入生,新入生
信任,信任
神秘,神秘
辛抱,辛抱
人民,人民
侵略,侵略
診療,診療
粋,粋
水源,水源
推進,推進
吹奏,吹奏
推測,推測
水田,水田
推理,推理
数詞,数詞
崇拝,崇拝
据え付ける,据え付ける
据える,据える
すがすがしい,すがすがしい
救い,救い
すくう (みずを～),すくう (みずを～)
健やか,健やか
濯ぐ,濯ぐ
進み,進み
裾,裾
スタジオ,スタジオ
スチーム,スチーム
ストライキ,ストライキ
スト,スト
ストロー,ストロー
ストロボ,ストロボ
すばしこい,すばしこい
素早い,素早い
ずばり,ずばり
スプリング,スプリング
スペース,スペース
ずぶぬれ,ずぶぬれ
スポーツカー,スポーツカー
澄ます,澄ます
清ます,清ます
済ます,済ます
すみやか,すみやか
スラックス,スラックス
ずらっと,ずらっと
ずるずる,ずるずる
ずれ,ずれ
すれちがい,すれちがい
擦れる,擦れる
すんなり,すんなり
生育,生育
成育,成育
成果,成果
正解,正解
正義,正義
生計,生計
政権,政権
星座,星座
制裁,制裁
政策,政策
生死,生死
静止,静止
誠実,誠実
成熟,成熟
青春,青春
清純,清純
聖書,聖書
正常,正常
制する,制する
整然,整然
盛装,盛装
盛大,盛大
清濁,清濁
制定,制定
静的,静的
製鉄,製鉄
晴天,晴天
正当,正当
制服,制服
征服,征服
製法,製法
精密,精密
税務署,税務署
制約,制約
勢力,勢力
整列,整列
セール,セール
急かす,急かす
伜,伜
責務,責務
セクション,セクション
世辞,世辞
世帯,世帯
是正,是正
世代,世代
切開,切開
セックス,セックス
切実,切実
接触,接触
接続詞,接続詞
設置,設置
折衷,折衷
設定,設定
説得,説得
切ない,切ない
絶版,絶版
設立,設立
攻め,攻め
ゼリー,ゼリー
セレモニー,セレモニー
世論,世論
先,先
繊維,繊維
全快,全快
宣教,宣教
宣言,宣言
戦災,戦災
専修,専修
戦術,戦術
センス,センス
潜水,潜水
全盛,全盛
先代,先代
先だって,先だって
先着,先着
前提,前提
先天的,先天的
前途,前途
戦闘,戦闘
潜入,潜入
船舶,船舶
全滅,全滅
専用,専用
占領,占領
善良,善良
戦力,戦力
前例,前例
相応,相応
総会,総会
創刊,創刊
雑木,雑木
早急,早急
早急,早急
増強,増強
送金,送金
走行,走行
総合,総合
捜索,捜索
蔵相,蔵相
装飾,装飾
増進,増進
相対,相対
壮大,壮大
騒動,騒動
遭難,遭難
相場,相場
装備,装備
創立,創立
添える,添える
ソース,ソース
即座に,即座に
促進,促進
即する,即する
束縛,束縛
側面,側面
損う,損う
そこら,そこら
素材,素材
阻止,阻止
訴訟,訴訟
育ち,育ち
措置,措置
ソックス,ソックス
素っ気無い,素っ気無い
外方,外方
備え付ける,備え付ける
備わる,備わる
具わる,具わる
聳える,聳える
素朴,素朴
背く,背く
染まる,染まる
染める,染める
そらす,そらす
そり (～にのる),そり (～にのる)
反る,反る
それゆえ,それゆえ
ソロ,ソロ
揃い,揃い
ぞんざい,ぞんざい
損失,損失
存続,存続
ダース,ダース
対応,対応
大家,大家
退化,退化
大概,大概
体格,体格
大金,大金
待遇,待遇
対決,対決
体験,体験
対抗,対抗
退治,退治
大衆,大衆
対処,対処
退職,退職
題する,題する
態勢,態勢
対談,対談
大胆,大胆
対等,対等
台無し,台無し
滞納,滞納
対比,対比
タイピスト,タイピスト
大部,大部
大便,大便
代弁,代弁
待望,待望
台本,台本
タイマー,タイマー
怠慢,怠慢
タイミング,タイミング
タイム,タイム
タイムリー,タイムリー
対面,対面
代用,代用
体力,体力
タイル,タイル
対話,対話
耐える,耐える
堪える,堪える
絶える,絶える
断える,断える
打開,打開
焚火,焚火
妥協,妥協
たくましい,たくましい
巧み,巧み
丈,丈
打撃,打撃
妥結,妥結
駄作,駄作
足し算,足し算
多数決,多数決
助け,助け
携わる,携わる
漂う,漂う
立ち去る,立ち去る
立ち寄る,立ち寄る
抱っこ,抱っこ
達者,達者
脱出,脱出
脱する,脱する
達成,達成
脱退,脱退
だったら,だったら
立て替える,立て替える
建前,建前
奉る,奉る
だと,だと
他動詞,他動詞
辿り着く,辿り着く
辿る,辿る
束ねる,束ねる
だぶだぶ,だぶだぶ
他方,他方
多忙,多忙
給う,給う
魂,魂
溜まり,溜まり
賜る,賜る
保つ,保つ
たやすい,たやすい
多様,多様
だるい,だるい
弛み,弛み
弛む,弛む
垂れる,垂れる
タレント,タレント
タワー,タワー
単一,単一
短歌,短歌
担架,担架
短気,短気
団結,団結
探検,探検
断言,断言
短縮,短縮
断然,断然
炭素,炭素
短大,短大
単調,単調
単独,単独
旦那,旦那
短波,短波
蛋白質,蛋白質
ダンプ,ダンプ
断面,断面
弾力,弾力
治安,治安
チームワーク,チームワーク
チェンジ,チェンジ
違える,違える
畜産,畜産
畜生,畜生
蓄積,蓄積
地形,地形
知性,知性
乳,乳
縮まる,縮まる
秩序,秩序
窒息,窒息
知的,知的
着手,着手
着色,着色
着席,着席
着目,着目
着陸,着陸
着工,着工
茶の間,茶の間
茶の湯,茶の湯
ちやほや,ちやほや
チャンネル,チャンネル
宙返り,宙返り
中継,中継
忠告,忠告
中傷,中傷
中枢,中枢
抽選,抽選
中断,中断
中毒,中毒
中腹,中腹
中立,中立
中和,中和
～著,～著
腸,腸
蝶,蝶
超,超
調印,調印
聴覚,聴覚
長官,長官
聴講,聴講
徴収,徴収
聴診器,聴診器
調停,調停
重複,重複
長編,長編
重宝,重宝
調理,調理
調和,調和
ちょくちょく,ちょくちょく
直面,直面
著書,著書
貯蓄,貯蓄
直感,直感
著名,著名
ちらっと,ちらっと
塵,塵
塵取り,塵取り
賃金,賃金
沈殿,沈殿
沈没,沈没
沈黙,沈黙
陳列,陳列
追及,追及
追跡,追跡
追放,追放
費やす,費やす
墜落,墜落
痛感,痛感
通常,通常
痛切,痛切
杖,杖
使い道,使い道
仕える,仕える
司る,司る
つかの間,つかの間
月並,月並
継目,継目
尽きる,尽きる
尽くす,尽くす
