〜 (まる) ごと,~ (마루) 당
勝敗,승패
蒸発,증발
賞品,상품
上品,고급
勝負,승부
小便,소변
消防署,소방서
正味,순
正面,정면
消耗,소모
省略,생략
初級,초급
助教授,조교수
食塩,식염
職人,장인
職場,직장
初旬,초순
書籍,책
食器,식기
ショップ,상점
書店,서점
書道,서예
初歩,초보
白髪,흰머리
シリーズ,시리즈
知り合い,아는 사람
私立,사립
資料,자료
汁,주스
素人,아마추어
しわ (かおの～),주름 (카오노~)
芯,심
新幹線,신칸센
真空,진공
人事,인사
心身,심신
信ずる,믿다
申請,신청
人造,인조
寝台,수면
診断,진단
侵入,침입
人文科学,인문과학
人命,인명
深夜,자정
森林,숲
親類,친척
針路,침로
神話,신화
酢,식초
水産,수산
炊事,취사
水蒸気,수증기
水素,수소
垂直,수직
推定,추정
水滴,물방울
水筒,물통
随筆,수필
水分,수분
水平,수평
水平線,수평선
水面,수면
水曜,수요일
図々しい,굉장한
ずうっと,쭉
末っ子,막내
スカーフ,스카프
図鑑,도감
隙,틈
杉,삼나무
好き嫌い,싫어
好き好き,좋아하는
透き通る,투명하다
隙間,틈새
スクール,학교
少なくとも,적어도
図形,도형
鈴,종
涼む,시원하다
スタート,시작
スチュワーデス,스튜어디스
すっきり,깔끔한
ステージ,무대
ストッキング,스타킹
ストップ,정지
素直,솔직
頭脳,두뇌
スピーカー,스피커
図表,도표
スマート,스마트
住まい,거주
すまない,미안하다
相撲,스모
スライド,슬라이드
ずらす,어긋나다
ずらり,즐거움
スリッパ,슬리퍼
する,하다
狡い,교활한
寸法,치수
姓,성
税関,세관
製作,제작
制作,제작
性質,성격
清書,청서
青少年,청소년
整数,정수
清掃,청소
生存,생존
生長,성장
政党,정당
生年月日,생년월일
性能,성능
整備,정비
成分,성분
性別,성별
正方形,정사각형
正門,정문
成立,성립
西暦,기원
背負う,짊어지는
赤道,적도
折角,접는 각
接近,접근
接する,접하다
せっせと,어리석은
接続,연결
瀬戸物,세토물
ぜひとも,꼭
迫る,다가오다
ゼミ,세미나
せめて,적어도
攻める,공격하다
セメント,시멘트
台詞,대사
栓,마개
前～,전~
前後,전후
洗剤,세제
全集,전집
全身,전신
扇子,부채
専制,전제
先々月,지난 달
先々週,지난 주
先祖,조상
先端,팁
センチ,센치메터
宣伝,홍보
先頭,선두
全般,일반
扇風機,선풍기
洗面,세면
全力,전력
線路,철도
総～,총~
相違,차이
そういえば,말하자면
雑巾,잡건
増減,증감
倉庫,창고
相互,상호
創作,창작
葬式,장례식
造船,조선
騒々しい,시끄러운
増大,증가
そうっと,그렇게
送別,송별
草履,초신
総理大臣,총리 장관
送料,우송료
属する,속하다
続々,계속
速達,신속
測定,측정
測量,측량
速力,빠른 힘
素質,질
祖先,조상
そそっかしい,그렇게
卒直,졸업
率直,솔직
そのころ,그 무렵
そのため,그 때문에
その他,기타
そば,메밀
剃る,면도하다
それなのに,그런데
それなら,그렇다면
それはいけませんね (かん),그러지 마세요 (칸)
逸れる,벗어나다
揃える,정렬
算盤,산반
存じる,알다
存ずる,살아남다
損得,손익
第～,제~
タイア,타이어
だいいち (とりわけ),Daichi (특히)
大学院,대학원
大工,목수
体系,체계
太鼓,북
対策,대책
大して,매우
対照,대조
大小,크고 작은
体制,체제
体積,부피
大層,대층
体操,체조
大分,오이타
大木,大木
題名,題名
代名詞,代名詞
ダイヤグラム,ダイヤグラム
ダイヤモンド,ダイヤモンド
ダイヤル,ダイヤル
対立,対立
田植え,田植え
絶えず,絶えず
楕円,楕円
高める,高める
耕す,耕す
滝,滝
蓄える,蓄える
竹,竹
ただいま,ただいま
但し,但し
畳む,畳む
立ち止まる,立ち止まる
たちまち,たちまち
建つ,建つ
脱線,脱線
妥当,妥当
例える,例える
頼もしい,頼もしい
足袋,足袋
ダブル,ダブル
ダム,ダム
溜息,溜息
ためらう,ためらう
だらしない,だらしない
足る,足る
短～,短～
段階,段階
短期,短期
炭鉱,炭鉱
短所,短所
たんす,たんす
淡水,淡水
断水,断水
単数,単数
団地,団地
断定,断定
短編,短編
田ぼ,田ぼ
誓う,誓う
地下水,地下水
近々,近々
近付ける,近付ける
近寄る,近寄る
力強い,力強い
ちぎる,ちぎる
地質,地質
知人,知人
地帯,地帯
縮む,縮む
縮める,縮める
縮れる,縮れる
チップ,チップ
地点,地点
地名,地名
茶色い,茶色い
着々,着々
中間,中間
中旬,中旬
抽象,抽象
中世,中世
中性,中性
中途,中途
中年,中年
チョーク,チョーク
長～,長～
超過,超過
彫刻,彫刻
長所,長所
長女,長女
調整,調整
調節,調節
長短,長短
頂点,頂点
長男,長男
長方形,長方形
調味料,調味料
直後,直後
直線,直線
直前,直前
直通,直通
直流,直流
貯蔵,貯蔵
直角,直角
直径,直径
散らかす,散らかす
散らかる,散らかる
塵紙,塵紙
追加,追加
ついで,ついで
つうか,つうか
通勤,通勤
通ずる,通ずる
通知,通知
通帳,通帳
通訳,通訳
通用,通用
通路,通路
突き当たり,突き当たり
突き当たる,突き当たる
月日,月日
次ぐ,次ぐ
伝わる,伝わる
突っ込む,突っ込む
務める,務める
努める,努める
綱,綱
繋がり,繋がり
繋がる,繋がる
粒,粒
潰す,潰す
潰れる,潰れる
つまずく,つまずく
躓く,躓く
詰まる,詰まる
積む,積む
爪,爪
艶,艶
強気,強気
釣り合う,釣り合う
吊る,吊る
吊す,吊す
テーマ,テーマ
手洗い,手洗い
低～,低～
定員,定員
定価,定価
低下,低下
定期券,定期券
定休日,定休日
停止,停止
停車,停車
停電,停電
出入り,出入り
出入口,出入口
出入り口,出入り口
手入れ,手入れ
出来上がり,出来上がり
出来上がる,出来上がる
的確,的確
適確,適確
手首,手首
凸凹,凸凹
手頃,手頃
手ごろ,手ごろ
弟子,弟子
でたらめ,でたらめ
手帳,手帳
鉄橋,鉄橋
手続き,手続き
鉄砲,鉄砲
テニスコート,テニスコート
手拭い,手拭い
手前,手前
出迎え,出迎え
出迎える,出迎える
照らす,照らす
照る,照る
展開,展開
伝記,伝記
電球,電球
点数,点数
伝染,伝染
電池,電池
電柱,電柱
点々,点々
転々,転々
天皇,天皇
電波,電波
テンポ,テンポ
電流,電流
電力,電力
問い合わせ,問い合わせ
銅,銅
同～,同～
どういたしまして (かん),どういたしまして (かん)
統一,統一
同格,同格
峠,峠
統計,統計
動作,動作
東西,東西
当日,当日
投書,投書
登場,登場
どうせ,どうせ
灯台,灯台
盗難,盗難
当番,当番
等分,等分
透明,透明
灯油,灯油
東洋,東洋
童話,童話
通り掛かる,通り掛かる
溶かす,溶かす
尖る,尖る
どきどき,どきどき
特殊,特殊
特色,特色
特定,特定
特売,特売
溶け込む,溶け込む
溶ける,溶ける
退ける,退ける
床の間,床の間
所々,所々
都心,都心
戸棚,戸棚
とっくに,とっくに
どっと,どっと
整う,整う
留まる,留まる
怒鳴る,怒鳴る
殿,殿
飛び込む,飛び込む
留まる,留まる
泊める,泊める
ともかく,ともかく
捕える,捕える
取り入れる,取り入れる
取り消す,取り消す
取り出す,取り出す
採る,採る
捕る,捕る
丼,丼
内科,内科
内線,内線
ナイロン,ナイロン
長～,長～
仲直り,仲直り
長引く,長引く
中身,中身
中指,中指
仲良し,仲良し
慰める,慰める
殴る,殴る
為す,為す
謎謎,謎謎
傾らか,傾らか
懐かしい,懐かしい
撫でる,撫でる
斜め,斜め
なにしろ,なにしろ
何しろ,何しろ
何々,何々
何分,何分
生意気,生意気
生意気な,生意気な
並木,並木
倣う,倣う
生る,生る
南極,南極
なんとなく,なんとなく
なんとも,なんとも
何とも,何とも
ナンバー,ナンバー
南米,南米
南北,南北
匂う,匂う
逃がす,逃がす
憎い,憎い
憎む,憎む
憎らしい,憎らしい
にこにこ,にこにこ
濁る,濁る
虹,虹
日時,日時
日用品,日用品
日課,日課
日程,日程
鈍い,鈍い
入社,入社
女房,女房
睨む,睨む
煮る,煮る
俄,俄
縫う,縫う
ねじ,ねじ
捩る,捩る
ネックレス,ネックレス
熱する,熱する
寝間着,寝間着
寝巻,寝巻
狙い,狙い
狙う,狙う
年度,年度
農産物,農産物
農村,農村
濃度,濃度
農薬,農薬
能率,能率
のこぎり,のこぎり
残らず,残らず
上り,上り
糊,糊
乗換,乗換
乗り換え,乗り換え
乗り越し,乗り越し
鈍い,鈍い
のろのろ,のろのろ
呑気,呑気
はい (かん),はい (かん)
灰色,灰色
俳句,俳句
売店,売店
バイバイ,バイバイ
売買,売買
這う,這う
剥す,剥す
剥がす,剥がす
ばからしい,ばからしい
秤,秤
吐き気,吐き気
はきはき,はきはき
掃く,掃く
歯車,歯車
バケツ,バケツ
挟まる,挟まる
挟む,挟む
梯子,梯子
始めに,始めに
初めに,初めに
はじめまして,はじめまして
斜,斜
外れる,外れる
パターン,パターン
肌着,肌着
果して,果して
果たして,果たして
鉢,鉢
発,発
×,×
発揮,発揮
バック,バック
発想,発想
発電,発電
発売,発売
派手,派手
話合い,話合い
話し合い,話し合い
話し掛ける,話し掛ける
話中,話中
甚だしい,甚だしい
花火,花火
花嫁,花嫁
ばね,ばね
跳ねる,跳ねる
破片,破片
歯磨き,歯磨き
はめる,はめる
早口,早口
払い込む,払い込む
払い戻す,払い戻す
針金,針金
張り切る,張り切る
反～,反～
反映,反映
半径,半径
判子,判子
万歳,万歳
判事,判事
反省,反省
番地,番地
パンツ,パンツ
バンド,バンド
半島,半島
ハンドル,ハンドル
非～,非～
日当たり,日当たり
日帰り,日帰り
比較的,比較的
日陰,日陰
ぴかぴか,ぴかぴか
引受る,引受る
引き返す,引き返す
引算,引算
引き出す,引き出す
引き止める,引き止める
卑怯,卑怯
引分け,引分け
引き分け,引き分け
陽射,陽射
日差し,日差し
肘,肘
ピストル,ピストル
ビタミン,ビタミン
ぴたり,ぴたり
引っ掛かる,引っ掛かる
筆記,筆記
引っ繰り返す,引っ繰り返す
引っ繰り返る,引っ繰り返る
引っ越し,引っ越し
引っ込む,引っ込む
筆者,筆者
必需品,必需品
一～,一～
人差指,人差指
一通り,一通り
人通り,人通り
ひとまず,ひとまず
瞳,瞳
一休み,一休み
独り言,独り言
ひとりでに,ひとりでに
ビニール,ビニール
皮肉,皮肉
日日,日日
日にち,日にち
捻る,捻る
日の入り,日の入り
日の出,日の出
響き,響き
響く,響く
皮膚,皮膚
冷やす,冷やす
ひゃっかじてん,ひゃっかじてん
百科事典,百科事典
美容,美容
表紙,表紙
標識,標識
標準,標準
標本,標本
評論,評論
ビルディング,ビルディング
昼寝,昼寝
広げる,広げる
広さ,広さ
広場,広場
広々,広々
ピンク,ピンク
便箋,便箋
瓶詰,瓶詰
ファスナー,ファスナー
風船,風船
不運,不運
深まる,深まる
不規則,不規則
普及,普及
付近,付近
副～,副～
副詞,副詞
複写,複写
複数,複数
ふくめる,ふくめる
膨らます,膨らます
膨らむ,膨らむ
不潔,不潔
更ける,更ける
符号,符号
夫妻,夫妻
塞がる,塞がる
塞ぐ,塞ぐ
ふざける,ふざける
無沙汰,無沙汰
武士,武士
部首,部首
蒸す,蒸す
襖,襖
附属,附属
付属,付属
蓋,蓋
不通,不通
物騒,物騒
ぶつぶつ,ぶつぶつ
船便,船便
部品,部品
吹雪,吹雪
父母,父母
踏切,踏切
麓,麓
フライパン,フライパン
ブラウス,ブラウス
ぶらさげる,ぶらさげる
ブラシ,ブラシ
プラットホーム,プラットホーム
フリー,フリー
振り仮名,振り仮名
振り向く,振り向く
プリント,プリント
古～,古～
故郷,故郷
古里,古里
振舞う,振舞う
ブローチ,ブローチ
プログラム,プログラム
風呂敷,風呂敷
ふわふわ,ふわふわ
噴火,噴火
分解,分解
文芸,文芸
文献,文献
噴水,噴水
分数,分数
文体,文体
分布,分布
文房具,文房具
文脈,文脈
分量,分量
分類,分類
閉会,閉会
平気,平気
並行,並行
平日,平日
兵隊,兵隊
平凡,平凡
平野,平野
凹む,凹む
へそ,へそ
隔てる,隔てる
別荘,別荘
別々,別々
ベテラン,ベテラン
ヘリコプター,ヘリコプター
編集,編集
便所,便所
ペンチ,ペンチ
ボーナス,ボーナス
防～,防～
望遠鏡,望遠鏡
方角,方角
箒,箒
方言,方言
坊さん,坊さん
防止,防止
方針,方針
包装,包装
法則,法則
包帯,包帯
膨大,膨大
包丁,包丁
方程式,方程式
防犯,防犯
方面,方面
坊や,坊や
放る,放る
朗らか,朗らか
朗らか(な),朗らか(な)
牧場,牧場
牧畜,牧畜
保健,保健
募集,募集
干す,干す
ポスター,ポスター
北極,北極
坊っちゃん,坊っちゃん
解く,解く
掘る,掘る
彫る,彫る
ぼろ,ぼろ
盆,盆
盆地,盆地
ほんの～,ほんの～
本部,本部
本来,本来
まあまあ,まあまあ
毎～,毎～
枚数,枚数
毎度,毎度
まく,まく
枕,枕
曲げる,曲げる
まごまご,まごまご
摩擦,摩擦
まざる,まざる
まじる,まじる
マスク,マスク
まぜる,まぜる
またぐ,またぐ
跨ぐ,跨ぐ
待合室,待合室
待ち合わせる,待ち合わせる
街角,街角
真っ暗,真っ暗
真っ黒,真っ黒
真っ青,真っ青
真っ先,真っ先
真っ白,真っ白
祭る,祭る
窓口,窓口
真似る,真似る
まぶた,まぶた
マフラー,マフラー
間も無く,間も無く
間もなく,間もなく
マラソン,マラソン
稀,稀
回り道,回り道
満員,満員
マンション,マンション
満点,満点
未～,未～
見上げる,見上げる
見送る,見送る
見下ろす,見下ろす
見掛け,見掛け
三日月,三日月
岬,岬
みじめ,みじめ
惨めな,惨めな
ミシン,ミシン
自ら,自ら
水着,水着
店屋,店屋
見出し,見出し
道順,道順
みっともない,みっともない
